# Tetrahedron method
       -0.4445699074        0.0000000000
       -0.4178957134        0.0000000000
       -0.3912215195        0.0000000000
       -0.3645473255        0.0000000000
       -0.3378731315        0.0000000000
       -0.3111989375        0.0000000000
       -0.2845247435        0.0000000000
       -0.2578505495        0.0000000000
       -0.2311763555        0.0000000000
       -0.2045021616        0.0000000000
       -0.1778279676        0.0000000000
       -0.1511537736        0.0000000000
       -0.1244795796        0.0000000000
       -0.0978053856        0.0000000000
       -0.0711311916        0.0000000000
       -0.0444569977        0.0000000000
       -0.0177828037        0.0000000000
        0.0088913903        0.0000391850
        0.0355655843        0.0006681863
        0.0622397783        0.0021725755
        0.0889139723        0.0046914903
        0.1155881663        0.0104358838
        0.1422623602        0.0117783844
        0.1689365542        0.0154412137
        0.1956107482        0.0204287388
        0.2222849422        0.0263033685
        0.2489591362        0.0336863721
        0.2756333302        0.0426744143
        0.3023075241        0.0532236381
        0.3289817181        0.0654364698
        0.3556559121        0.0801949682
        0.3823301061        0.0983821569
        0.4090043001        0.1268723491
        0.4356784941        0.1403275891
        0.4623526881        0.1620799434
        0.4890268820        0.1829546237
        0.5157010760        0.2067837787
        0.5423752700        0.2336977808
        0.5690494640        0.2621049439
        0.5957236580        0.2923476214
        0.6223978520        0.3271056899
        0.6490720459        0.3645266086
        0.6757462399        0.4050447652
        0.7024204339        0.4499835554
        0.7290946279        0.5012707913
        0.7557688219        0.5587269649
        0.7824430159        0.6261463384
        0.8091172098        0.7027723748
        0.8357914038        0.7960833283
        0.8624655978        0.9460132551
        0.8891397918        1.4259952733
        0.9158139858        1.6810554929
        0.9424881798        1.5979940259
        0.9691623738        1.6209452341
        0.9958365677        1.6635390184
        1.0225107617        1.6896883494
        1.0491849557        1.6730024929
        1.0758591497        1.7144381668
        1.1025333437        1.7394837020
        1.1292075377        1.6476906884
        1.1558817316        1.5294671111
        1.1825559256        1.4754091923
        1.2092301196        1.4205776733
        1.2359043136        1.3840086988
        1.2625785076        1.4472973907
        1.2892527016        1.5383600305
        1.3159268956        1.6228341977
        1.3426010895        1.6744367512
        1.3692752835        1.7334792310
        1.3959494775        1.7851565231
        1.4226236715        1.8394515368
        1.4492978655        1.9053078885
        1.4759720595        2.0824756872
        1.5026462534        1.9986153301
        1.5293204474        2.1232042102
        1.5559946414        2.4234807462
        1.5826688354        2.4770373245
        1.6093430294        2.5872156819
        1.6360172234        2.5687586123
        1.6626914174        2.5335056136
        1.6893656113        2.7361542035
        1.7160398053        2.7599282360
        1.7427139993        2.8413096511
        1.7693881933        2.8660757840
        1.7960623873        3.0876309299
        1.8227365813        2.9960367364
        1.8494107752        2.9696977045
        1.8760849692        2.9265851409
        1.9027591632        2.8721850815
        1.9294333572        3.0473215449
        1.9561075512        3.2138195334
        1.9827817452        3.2885971033
        2.0094559391        3.2609763274
        2.0361301331        3.3219755072
        2.0628043271        3.3204964502
        2.0894785211        3.6399492021
        2.1161527151        4.0346965170
        2.1428269091        5.1346338916
        2.1695011031        4.3603105180
        2.1961752970        3.5783652723
        2.2228494910        3.4717856948
        2.2495236850        3.5776897920
        2.2761978790        3.5226220511
        2.3028720730        3.6274355347
        2.3295462670        2.7788450385
        2.3562204609        2.5135822404
        2.3828946549        2.2513929118
        2.4095688489        2.3163266866
        2.4362430429        2.2784067562
        2.4629172369        1.9741793946
        2.4895914309        2.0473122725
        2.5162656249        2.0034641335
        2.5429398188        1.9463122945
        2.5696140128        1.8845875890
        2.5962882068        1.8766349481
        2.6229624008        1.8051518725
        2.6496365948        1.5476947963
        2.6763107888        1.3429985499
        2.7029849827        1.2562910083
        2.7296591767        1.1877458878
        2.7563333707        1.1195434329
        2.7830075647        1.0306947111
        2.8096817587        1.0239586143
        2.8363559527        0.9904943260
        2.8630301467        0.9745210516
        2.8897043406        0.9809192226
        2.9163785346        1.0019552920
        2.9430527286        0.9907776754
        2.9697269226        0.9588477934
        2.9964011166        1.0754243300
        3.0230753106        1.1772531557
        3.0497495045        1.3385041016
        3.0764236985        1.6352599444
        3.1030978925        1.9479193031
        3.1297720865        1.6534765951
        3.1564462805        1.4655602157
        3.1831204745        1.4690254624
        3.2097946684        1.3124416136
        3.2364688624        1.2250455391
        3.2631430564        1.1363330443
        3.2898172504        1.0962656575
        3.3164914444        1.0429993343
        3.3431656384        0.9948404106
        3.3698398324        0.9765089089
        3.3965140263        0.9688671204
        3.4231882203        0.9780474970
        3.4498624143        0.9736896773
        3.4765366083        0.9562786656
        3.5032108023        0.9436320676
        3.5298849963        0.9195316931
        3.5565591902        0.8969818964
        3.5832333842        0.8845077417
        3.6099075782        0.8706384692
        3.6365817722        0.8683715541
        3.6632559662        0.8654591280
        3.6899301602        0.8585836545
        3.7166043542        0.8001011960
        3.7432785481        0.7070936710
        3.7699527421        0.6693407493
        3.7966269361        0.6369434410
        3.8233011301        0.6033279013
        3.8499753241        0.5702468234
        3.8766495181        0.5479721452
        3.9033237120        0.5257896241
        3.9299979060        0.5048512803
        3.9566721000        0.4845277262
        3.9833462940        0.4655088961
        4.0100204880        0.4498408453
        4.0366946820        0.4345716895
        4.0633688760        0.4223513449
        4.0900430699        0.4051007511
        4.1167172639        0.3882526968
        4.1433914579        0.3799100979
        4.1700656519        0.3586341956
        4.1967398459        0.3414535965
        4.2234140399        0.2911835129
        4.2500882338        0.2547954460
        4.2767624278        0.2215596772
        4.3034366218        0.1956873176
        4.3301108158        0.1763222549
        4.3567850098        0.1456879658
        4.3834592038        0.1092244737
        4.4101333977        0.0907127408
        4.4368075917        0.0189195733
        4.4634817857        0.0000000000
        4.4901559797        0.0000000000
        4.5168301737        0.0000000000
        4.5435043677        0.0000000000
        4.5701785617        0.0000000000
        4.5968527556        0.0000000000
        4.6235269496        0.0000000000
        4.6502011436        0.0000000000
        4.6768753376        0.0000000000
        4.7035495316        0.0000000000
        4.7302237256        0.0000000000
        4.7568979195        0.0000000000
        4.7835721135        0.0000000000
        4.8102463075        0.0000000000
        4.8369205015        0.0000000000
        4.8635946955        0.0000000000
        4.8902688895        0.0000000000
